"id","pig","pid","mid","pname","pteam","ptime","paddtime","ptype","x","y"
"g1","92",346,1,"Joel Matip","Cameroon",26,0,"goal",505,22
"g2","92",21,1,"Neymar","Brazil",17,0,"goal",472,150
"g3","49",21,1,"Neymar","Brazil",34,0,"goal",456,219
"g4","92",17,1,"Fernandinho","Brazil",84,0,"goal",392,141
"g5","92",23,1,"Fred","Brazil",49,0,"Header",495,63
"g6","49",41,2,"Juan Mata","Spain",82,0,"goal",614,38
"g7","49",47,2,"David Villa","Spain",36,0,"goal",533,62
"g8","92",46,2,"Fernando Torres","Spain",69,0,"goal",363,111
"g9","92",720,3,"Leroy Fer","Netherlands",77,0,"Header",480,88
"g10","92",726,3,"Memphis Depay","Netherlands",90,2,"goal",522,54
"g11","5",701,4,"Javier Hern&aacute;ndez","Mexico",82,0,"Header",478,27
"g12","92",686,4,"Rafael M&aacute;rquez","Mexico",72,0,"Header",510,80
"g13","5",690,4,"Andr&eacute;s Guardado","Mexico",75,0,"goal",465,140
"g14","92",460,4,"Ivan Periši?","Croatia",87,0,"goal",341,56
"g15","49",7,5,"Marcelo","Brazil",11,0,"Own goal",497,75
"g16","5",21,5,"Neymar","Brazil",71,0,"Penalty",505,148
"g17","5",19,5,"Osc&aacute;r","Brazil",90,1,"goal",428,274
"g18","92",21,5,"Neymar","Brazil",29,0,"goal",485,344
"g19","5",703,6,"Oribe Peralta","Mexico",61,0,"goal",517,146
"g20","5",38,7,"Xabi Alonso","Spain",27,0,"Penalty",504,146
"g21","49",708,7,"Stefan de Vrij","Netherlands",65,0,"goal",544,6
"g22","90",718,7,"Arjen Robben","Netherlands",80,0,"goal",462,111
"g23","90",721,7,"Robin van Persie","Netherlands",44,0,"Header",494,200
"g24","49",718,7,"Arjen Robben","Netherlands",53,0,"goal",521,135
"g25","49",721,7,"Robin van Persie","Netherlands",72,0,"goal",544,132
"g26","49",173,8,"Tim Cahill","Australia",35,0,"Header",442,58
"g27","5",370,8,"Jorge Valdivia","Chile",14,0,"goal",498,203
"g28","92",377,8,"Alexis S&aacute;nchez","Chile",12,0,"goal",577,64
"g29","92",371,8,"Jean Beausejour","Chile",90,2,"goal",333,242
"g30","5",399,9,"Te&oacute;filo Guti&eacute;rrez","Colombia",58,0,"goal",478,22
"g31","5",400,9,"James Rodr&iacute;guez","Colombia",90,3,"goal",593,169
"g32","5",388,9,"Pablo Armero","Colombia",5,0,"goal",493,174
"g33","92",841,10,"Edinson Cavani","Uruguay",24,0,"Penalty",504,147
"g34","5",412,10,"Marcos Ure&ntilde;a","Costa Rica",84,0,"goal",674,77
"g35","92",411,10,"Oscar Duarte","Costa Rica",57,0,"Header",616,43
"g36","49",419,10,"Joel Campbell","Costa Rica",54,0,"goal",426,135
"g37","5",624,11,"Claudio Marchisio","Italy",35,0,"goal",567,339
"g38","5",630,11,"Mario Balotelli","Italy",50,0,"Header",447,38
"g39","92",516,11,"Daniel Sturridge","England",37,0,"goal",548,44
"g40","5",645,12,"Keisuke Honda","Japan",16,0,"goal",347,177
"g41","5",448,12,"Wilfried Bony","C&ocirc;te d'Ivoire",64,0,"Header",569,109
"g42","92",440,12,"Gervinho","C&ocirc;te d'Ivoire",66,0,"Header",621,122
"g43","49",485,13,"Enner Valencia","Ecuador",22,0,"Header",499,59
"g44","5",815,13,"Haris Seferovic","Switzerland",90,3,"goal",491,54
"g45","49",817,13,"Admir Mehmedi","Switzerland",48,0,"Header",477,53
"g46","49",96,14,"Noel Valladares","Honduras",48,0,"Own goal",477,1
"g47","5",540,14,"Karim Benzema","France",45,0,"Penalty",504,146
"g48","92",540,14,"Karim Benzema","France",72,0,"goal",656,62
"g49","5",160,15,"Lionel Messi","Argentina",65,0,"goal",490,229
"g50","5",324,15,"Sead Kolasinac","Bosnia and Herzegovina",3,0,"Own goal",551,41
"g51","5",334,15,"Vedad Ibisevic","Bosnia and Herzegovina",84,0,"goal",339,94
"g52","5",67,16,"Thomas M&uuml;ller","Germany",12,0,"Penalty",504,146
"g53","49",67,16,"Thomas M&uuml;ller","Germany",78,0,"goal",537,36
"g54","5",54,16,"Mats Hummels","Germany",32,0,"Header",488,92
"g55","5",67,16,"Thomas M&uuml;ller","Germany",45,1,"goal",480,160
"g56","92",854,18,"Clint Dempsey","USA",1,0,"goal",363,111
"g57","49",848,18,"John Brooks","USA",86,0,"Header",525,103
"g58","5",563,18,"Andr&eacute; Ayew","Ghana",82,0,"goal",396,125
"g59","49",131,19,"Sofiane Feghouli","Algeria",25,0,"Penalty",504,146
"g60","92",280,19,"Marouane Fellaini","Belgium",70,0,"Header",467,122
"g61","92",288,19,"Dries Mertens","Belgium",80,0,"goal",656,150
"g62","92",678,21,"Keun-Ho Lee","Korea Republic",68,0,"goal",624,300
"g63","92",795,21,"Aleksandr Kerzhakov","Russia",74,0,"goal",549,53
"g64","92",726,22,"Memphis Depay","Netherlands",68,0,"goal",458,386
"g65","5",176,22,"Mile Jedinak","Australia",55,0,"Penalty",504,146
"g66","49",721,22,"Robin van Persie","Netherlands",58,0,"goal",404,143
"g67","49",718,22,"Arjen Robben","Netherlands",20,0,"goal",382,124
"g68","49",173,22,"Tim Cahill","Australia",21,0,"goal",376,150
"g69","5",379,23,"Eduardo Vargas","Chile",20,0,"goal",504,96
"g70","92",375,23,"Charles Ar&aacute;nguiz","Chile",43,0,"goal",565,169
"g71","49",460,24,"Ivan Periši?","Croatia",48,0,"goal",334,69
"g72","5",472,24,"Ivica Oli?","Croatia",11,0,"goal",442,98
"g73","5",471,24,"Mario Mandžuki?","Croatia",61,0,"Header",478,109
"g74","49",471,24,"Mario Mandžuki?","Croatia",73,0,"goal",460,59
"g75","5",440,25,"Gervinho","C&ocirc;te d'Ivoire",73,0,"goal",405,148
"g76","5",403,25,"Juan Quintero","Colombia",70,0,"goal",548,153
"g77","5",400,25,"James Rodr&iacute;guez","Colombia",64,0,"Header",435,85
"g78","5",517,26,"Wayne Rooney","England",75,0,"goal",473,38
"g79","5",838,26,"Luis Su&aacute;rez","Uruguay",39,0,"Header",543,85
"g80","49",838,26,"Luis Su&aacute;rez","Uruguay",85,0,"goal",648,111
"g81","92",426,28,"Bryan Ruiz","Costa Rica",44,0,"Header",562,27
"g82","5",535,29,"Blaise Matuidi","France",18,0,"goal",366,106
"g83","92",539,29,"Olivier Giroud","France",17,0,"Header",460,137
"g84","92",533,29,"Mathieu Valbuena","France",40,0,"goal",515,38
"g85","49",540,29,"Karim Benzema","France",67,0,"goal",599,43
"g86","5",536,29,"Moussa Sissoko","France",73,0,"goal",643,164
"g87","5",812,29,"Blerim Dzemaili","Switzerland",81,0,"Free-kick",475,444
"g88","92",809,29,"Granit Xhaka","Switzerland",87,0,"goal",632,158
"g89","92",485,30,"Enner Valencia","Ecuador",65,0,"Header",556,54
"g90","49",485,30,"Enner Valencia","Ecuador",34,0,"goal",452,25
"g91","5",115,30,"Carlo Costly","Honduras",31,0,"goal",472,222
"g92","5",160,31,"Lionel Messi","Argentina",90,1,"goal",698,299
"g93","5",563,32,"Andr&eacute; Ayew","Ghana",54,0,"Header",497,140
"g94","5",561,32,"Asamoah Gyan","Ghana",63,0,"goal",609,132
"g95","5",62,32,"Mario G&ouml;tze","Germany",51,0,"goal",472,75
"g96","92",68,32,"Miroslav Klose","Germany",71,0,"goal",530,30
"g97","92",743,33,"Peter Odemwingie","Nigeria",29,0,"goal",453,93
"g98","49",284,34,"Divock Origi","Belgium",88,0,"goal",425,103
"g99","49",676,35,"Son Heung-Min","Korea Republic",50,0,"goal",386,90
"g100","92",671,35,"Ja-Cheol Koo","Korea Republic",72,0,"goal",499,33
"g101","92",139,35,"Abdelmoumene Djabou","Algeria",38,0,"goal",471,164
"g102","49",132,35,"Yacine Brahimi","Algeria",62,0,"goal",418,101
"g103","92",137,35,"Islam Slimani","Algeria",26,0,"goal",481,111
"g104","5",124,35,"Rafik Halliche","Algeria",28,0,"Header",491,56
"g105","49",854,36,"Clint Dempsey","USA",81,0,"goal",506,38
"g106","92",857,36,"Jermaine Jones","USA",64,0,"goal",420,324
"g107","92",771,36,"Silvestre Varela","Portugal",90,5,"Header",455,106
"g108","49",765,36,"Nani","Portugal",5,0,"goal",573,69
"g109","92",823,37,"Diego God&iacute;n","Uruguay",81,0,"Header",479,90
